epoch,step,train_IoU,train_loss,valid_IoU,valid_loss
57,5161,,,7.494829333154485e-06,0.9999931454658508
58,5199,0.0,0.9999927282333374,,
58,5249,0.0,0.9999986886978149,,
58,5250,,,5.4132901823322754e-06,0.9999931454658508
59,5299,0.0,0.9999958276748657,,
59,5339,,,5.593643436441198e-06,0.9999931454658508
60,5349,0.0,0.9999967813491821,,
60,5399,0.0,0.9999932050704956,,
60,5428,,,5.6164194575103465e-06,0.9999933838844299
61,5449,0.0,0.9999945759773254,,
61,5499,1.2740152669721283e-05,0.9999918341636658,,
61,5517,,,6.805279099353356e-06,0.9999933838844299
62,5549,0.0,0.9999914765357971,,
62,5599,0.0,0.999994158744812,,
62,5606,,,7.52815094529069e-06,0.9999932646751404
63,5649,0.0,0.9999943375587463,,
63,5695,,,5.8468049246585e-06,0.9999932646751404
64,5699,0.0,0.9999940991401672,,
64,5749,0.0,0.9999953508377075,,
64,5784,,,8.180770237231627e-06,0.9999931454658508
65,5799,0.0,0.9999969005584717,,
65,5849,0.0,0.9999934434890747,,
65,5873,,,6.927547929080902e-06,0.9999931454658508
66,5899,9.525987479719333e-06,0.999992847442627,,
66,5949,0.0,0.9999976754188538,,
66,5962,,,5.916057943977648e-06,0.9999935030937195
67,5999,0.0,0.9999946355819702,,
67,6049,9.064128789759707e-06,0.9999919533729553,,
67,6051,,,6.227748144738143e-06,0.9999933838844299
68,6099,0.0,0.9999938607215881,,
68,6140,,,6.156146810099017e-06,0.9999929666519165
69,6149,1.0631286386342254e-05,0.9999932646751404,,
69,6199,1.1133006410091184e-05,0.9999944567680359,,
69,6229,,,7.399363767035538e-06,0.999993085861206
70,6249,0.0,0.9999960064888,,
70,6299,0.0,0.9999946355819702,,
70,6318,,,6.717936685163295e-06,0.9999932646751404
71,6349,9.598956239642575e-06,0.9999915361404419,,
71,6399,0.0,0.9999967217445374,,
71,6407,,,6.527764071506681e-06,0.9999931454658508
72,6449,1.0509611456654966e-05,0.9999915361404419,,
72,6496,,,7.356376954703592e-06,0.999993085861206
73,6499,0.0,0.9999949932098389,,
73,6549,0.0,0.9999968409538269,,
73,6585,,,8.208574399759527e-06,0.9999929666519165
74,6599,0.0,0.9999960660934448,,
74,6649,0.0,0.9999940991401672,,
74,6674,,,7.774387086101342e-06,0.9999927878379822
75,6699,0.0,0.9999926090240479,,
75,6749,0.0,0.9999987483024597,,
75,6763,,,5.2964787755627185e-06,0.9999935030937195
76,6799,0.0,0.9999904632568359,,
76,6849,0.0,0.9999945759773254,,
76,6852,,,6.538428351632319e-06,0.9999933838844299
77,6899,1.1398349670344032e-05,0.999990701675415,,
77,6941,,,5.7095871852652635e-06,0.9999931454658508
78,6949,0.0,0.9999963641166687,,
78,6999,8.611039447714575e-06,0.9999934434890747,,
78,7030,,,5.498267910297727e-06,0.9999932646751404
79,7049,0.0,0.9999930262565613,,
79,7099,9.479931577516254e-06,0.999992311000824,,
79,7119,,,7.3352016443095636e-06,0.999992847442627
80,7149,1.1000010999850929e-05,0.9999905824661255,,
80,7199,0.0,0.9999980330467224,,
80,7208,,,6.3170937210088596e-06,0.999992847442627
81,7249,0.0,0.999998152256012,,
81,7297,,,8.3491195255192e-06,0.999993085861206
82,7299,8.2708884292515e-06,0.9999937415122986,,
82,7349,0.0,0.9999951720237732,,
82,7386,,,6.246955763344886e-06,0.9999929666519165
83,7399,1.9623101252363995e-05,0.9999901056289673,,
83,7449,0.0,0.9999942779541016,,
83,7475,,,6.77485559208435e-06,0.9999931454658508
84,7499,0.0,0.9999940395355225,,
84,7549,0.0,0.9999929070472717,,
84,7564,,,7.5668372119253036e-06,0.999993085861206
85,7599,0.0,0.999995231628418,,
85,7649,0.0,0.9999972581863403,,
85,7653,,,7.119857855286682e-06,0.9999924898147583
86,7699,0.0,0.9999935030937195,,
86,7742,,,5.573851467488566e-06,0.9999932646751404
87,7749,2.1645995730068535e-05,0.9999887943267822,,
87,7799,0.0,0.9999960660934448,,
87,7831,,,7.693792213103734e-06,0.9999932646751404
88,7849,8.833298124955036e-06,0.9999900460243225,,
88,7899,2.2606653146794997e-05,0.9999885559082031,,
88,7920,,,5.439840606413782e-06,0.9999931454658508
89,7949,1.1021470527339261e-05,0.9999903440475464,,
89,7999,0.0,0.9999939203262329,,
89,8009,,,6.197734819579637e-06,0.999993085861206
90,8049,0.0,0.9999964833259583,,
90,8098,,,7.984344847500324e-06,0.9999929666519165
91,8099,1.0659163308446296e-05,0.9999912977218628,,
91,8149,1.0902153007918969e-05,0.999991774559021,,
91,8187,,,6.740748176525813e-06,0.9999935030937195
92,8199,0.0,0.9999964237213135,,
92,8249,2.197133653680794e-05,0.9999866485595703,,
92,8276,,,7.4155968832201324e-06,0.999993085861206
93,8299,0.0,0.9999963641166687,,
93,8349,0.0,0.9999957084655762,,
93,8365,,,6.069583378121024e-06,0.9999933838844299
94,8399,9.6272342489101e-06,0.9999925494194031,,
94,8449,0.0,0.9999938011169434,,
94,8454,,,5.729368240281474e-06,0.9999931454658508
95,8499,1.1998176887573209e-05,0.9999924898147583,,
95,8543,,,5.771767519036075e-06,0.9999933838844299
96,8549,0.0,0.9999951720237732,,
96,8599,1.1979635019088164e-05,0.9999932050704956,,
96,8632,,,6.9970410550013185e-06,0.9999938011169434
97,8649,1.2679574865614995e-05,0.9999939799308777,,
97,8699,1.1322079444653355e-05,0.9999910593032837,,
97,8721,,,8.982383405964356e-06,0.9999927878379822
98,8749,0.0,0.999997079372406,,
98,8799,0.0,0.9999949932098389,,
98,8810,,,7.261619430209976e-06,0.9999929666519165
99,8849,0.0,0.9999940991401672,,
99,8899,9.208866686094552e-06,0.9999890327453613,,
99,8899,,,8.482493285555393e-06,0.9999926686286926
